Unnamed: 0,ligne,bol_type_code,ctn_reference,cnt_size,cnt_flag,index,filename
,,,ZCSU7143277,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,FSCU8165027,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU2479304,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU1661259,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8477751,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,JXLU5963657,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8843917,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8851933,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BMOU4516023,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU1049058,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU5960519,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8634906,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU3059716,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8995956,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,FCIU9003546,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7184424,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2797439,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GLDU3876493,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GLDU3876493,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU5455684,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU6542821,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GAOU6134461,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU7208012,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8750110,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7055216,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU5779162,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU7183001,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,DRYU2388710,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,SEGU2096823,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU3028973,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU2611982,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,FSCU8226375,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TRHU2607836,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BMOU4584075,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GLDU5103785,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8680352,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU2611154,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU3007760,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CLHU3747877,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU1036162,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU6310966,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7175504,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,FCIU8995067,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8570329,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU6772990,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU7629984,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8598455,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,MAGU5430591,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7123218,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU8546288,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7156309,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU6514218,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZIMU2848685,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU5646853,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2587664,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BSIU9719409,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7127450,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU8551875,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU6745357,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8728991,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU8537157,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU6521515,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,CAIU6459529,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TEMU2428821,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2682471,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2671348,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU4634708,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU1828464,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU2299200,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,GLDU7584695,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU6510887,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2616248,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2642988,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2690353,,,,cnt_num_ZIM_12-28-2020_SYD.csv
